"requestYear","regionTitle","regionCID","povertyLine","mean","hc","pg","p2","population"
2002,"South Asia","SAS",5.5,86.04601,0.928239,0.535927,0.3418172,1437.568227
2002,"Sub-Saharan Africa","SSA",5.5,84.56964,0.9053225,0.6029911,0.4446526,707.261055
2002,"World Total","WLD",5.5,358.2876,0.6405684,0.3548169,0.2294603,6280.87144
2002,"World less Other High Income","TOT",5.5,152.2223,0.7578323,0.4198108,0.2713473,5292.031377
1999,"East Asia and Pacific","EAP",5.5,102.2976,0.8694479,0.5009586,0.3297446,1798.160262
1999,"Europe and Central Asia","ECA",5.5,254.6262,0.4471078,0.1820717,0.09901401,470.937614
1999,"Latin America and the Caribbean","LAC",5.5,325.1851,0.4701969,0.2245976,0.1403983,512.702884
1999,"Middle East and North Africa","MNA",5.5,222.6531,0.5442867,0.1935388,0.08969436,278.094979
1999,"Other high Income","OHI",5.5,1392.845,0.01345291,0.006837567,0.005008395,967.738728
1999,"South Asia","SAS",5.5,84.72129,0.931287,0.5400478,0.3457026,1361.185289
1999,"Sub-Saharan Africa","SSA",5.5,82.34351,0.9066267,0.6167087,0.4620758,653.324803
1999,"World Total","WLD",5.5,339.2059,0.6685368,0.3806853,0.250538,6042.144559
1999,"World less Other High Income","TOT",5.5,138.2666,0.7934677,0.4519817,0.2973629,5074.405831
1996,"East Asia and Pacific","EAP",5.5,95.93891,0.8929574,0.5232033,0.3460924,1738.489971
1996,"Europe and Central Asia","ECA",5.5,289.9943,0.4156978,0.1681698,0.09175925,470.372428
1996,"Latin America and the Caribbean","LAC",5.5,321.7518,0.4811182,0.2292175,0.1431695,489.430479
1996,"Middle East and North Africa","MNA",5.5,198.7522,0.6082462,0.2382169,0.117895,262.42679
1996,"Other high Income","OHI",5.5,1307.711,0.01426007,0.007107054,0.005117458,947.736842
1996,"South Asia","SAS",5.5,81.83871,0.9392031,0.5489781,0.3531357,1284.978193
1996,"Sub-Saharan Africa","SSA",5.5,84.13263,0.9039087,0.6184087,0.4659987,603.514397
1996,"World Total","WLD",5.5,329.161,0.6743058,0.3879223,0.2562914,5796.9491
1996,"World less Other High Income","TOT",5.5,137.9118,0.8033061,0.4623494,0.3053812,4849.212258
1993,"East Asia and Pacific","EAP",5.5,78.32273,0.9317882,0.5977852,0.4203755,1674.07887
1993,"Europe and Central Asia","ECA",5.5,306.2617,0.3643768,0.138267,0.07212519,469.111411
1993,"Latin America and the Caribbean","LAC",5.5,302.2018,0.4909534,0.2343816,0.1455332,465.333346
1993,"Middle East and North Africa","MNA",5.5,200.26,0.6054219,0.2418005,0.1217239,246.467562
1993,"Other high Income","OHI",5.5,1238.022,0.01550064,0.00718009,0.004909868,925.008958
1993,"South Asia","SAS",5.5,76.50181,0.9504196,0.5722059,0.3756584,1208.612942
1993,"Sub-Saharan Africa","SSA",5.5,82.55705,0.9076531,0.6239332,0.4722148,556.563541
1993,"World Total","WLD",5.5,315.2942,0.6810763,0.4111211,0.2807275,5545.17663
1993,"World less Other High Income","TOT",5.5,130.5538,0.814332,0.4919946,0.3359493,4620.167672
1990,"East Asia and Pacific","EAP",5.5,68.82658,0.9516952,0.6386628,0.4606335,1604.575
1990,"Europe and Central Asia","ECA",5.5,383.6758,0.2554635,0.09169239,0.04609701,464.253082
1990,"Latin America and the Caribbean","LAC",5.5,299.4168,0.492747,0.2394997,0.1499568,440.819907
1990,"Middle East and North Africa","MNA",5.5,198.2496,0.5911374,0.2272667,0.1122275,229.71598
1990,"Other high Income","OHI",5.5,1214.15,0.01731174,0.007233248,0.004765446,903.663219
1990,"South Asia","SAS",5.5,74.32001,0.9534194,0.5842854,0.389,1133.089464
1990,"Sub-Saharan Africa","SSA",5.5,93.24686,0.8873103,0.591871,0.4396584,512.271885
1990,"World Total","WLD",5.5,320.5611,0.671125,0.4154227,0.2879344,5288.388537
1990,"World less Other High Income","TOT",5.5,136.3983,0.8058716,0.4995479,0.3462937,4384.725318
1987,"East Asia and Pacific","EAP",5.5,66.11067,0.9614554,0.6413748,0.4588106,1526.084569
1987,"Europe and Central Asia","ECA",5.5,433.6746,0.2226595,0.07896333,0.03963942,454.132542
1987,"Latin America and the Caribbean","LAC",5.5,332.3137,0.4700481,0.2252415,0.1394319,416.447397
1987,"Middle East and North Africa","MNA",5.5,198.3876,0.6186714,0.2509766,0.1282029,209.671201
1987,"Other high Income","OHI",5.5,1128.343,0.0211904,0.008800882,0.00556936,883.082862
1987,"South Asia","SAS",5.5,72.06037,0.9556563,0.5962526,0.4024566,1059.829211
1987,"Sub-Saharan Africa","SSA",5.5,95.4581,0.8831386,0.5846722,0.4318799,471.019419
1987,"World Total","WLD",5.5,317.8274,0.6655757,0.4135568,0.2864408,5020.267201
1987,"World less Other High Income","TOT",5.5,144.8227,0.8031199,0.499952,0.3463929,4137.184339
1984,"East Asia and Pacific","EAP",5.5,58.28801,0.968233,0.6872374,0.5122139,1451.122349
1984,"Europe and Central Asia","ECA",5.5,424.4049,0.2315603,0.08221429,0.04102082,441.698312
1984,"Latin America and the Caribbean","LAC",5.5,300.6443,0.5128065,0.2563479,0.1622467,392.058676
1984,"Middle East and North Africa","MNA",5.5,198.873,0.62427,0.2585162,0.1339445,191.40524
1984,"Other high Income","OHI",5.5,1051.087,0.02753572,0.01066506,0.006520593,865.175929
1984,"South Asia","SAS",5.5,68.36865,0.9611203,0.6113138,0.4196464,989.188965
1984,"Sub-Saharan Africa","SSA",5.5,97.71584,0.8801098,0.5831082,0.4306764,432.641632
1984,"World Total","WLD",5.5,303.8357,0.6682707,0.4303271,0.3060345,4763.291103
1984,"World less Other High Income","TOT",5.5,137.9853,0.8104801,0.5234699,0.3725108,3898.115174
1981,"East Asia and Pacific","EAP",5.5,48.60502,0.9713862,0.8459583,0.7736362,1380.841421
1981,"Europe and Central Asia","ECA",5.5,410.55,0.2449329,0.08646576,0.04286277,429.5075
1981,"Latin America and the Caribbean","LAC",5.5,327.6167,0.4667261,0.2243299,0.1389595,367.704969
1981,"Middle East and North Africa","MNA",5.5,186.0523,0.6511433,0.2759667,0.145858,174.188077
1981,"Other high Income","OHI",5.5,994.3831,0.0324538,0.01240439,0.007390591,846.973047
1981,"South Asia","SAS",5.5,66.35843,0.9648974,0.6246646,0.4350246,921.696915
1981,"Sub-Saharan Africa","SSA",5.5,106.632,0.8606899,0.5531647,0.4008814,397.123463
1981,"World Total","WLD",5.5,297.0425,0.6618364,0.4740471,0.3828216,4518.035392
1981,"World less Other High Income","TOT",5.5,136.1548,0.8070451,0.5805555,0.4694396,3671.062345



